categoria,subcategoria,variable,unidad,anio,valor
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2005,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2005,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2006,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2006,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2007,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2007,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2008,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2008,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2009,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2009,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2010,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2010,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2011,6.945553
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2011,0.00040468397016218933
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2012,39.257985999999995
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2012,0.0021132512512912556
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2013,1.065495
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2013,5.779010796527613e-05
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2014,0.378594
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2014,2.027268417201188e-05
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2015,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2015,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2016,0.19539199999999998
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2016,9.701374409864626e-06
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2017,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2017,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2018,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2018,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2019,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2019,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2020,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2020,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2021,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2021,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2022,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2022,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2023,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2023,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2024,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2024,0.0
COMBUSTIBLES,CONSUMO DE,BIODIESEL,[kTon],2025,0.0
COMBUSTIBLES,Participación [%],BIODIESEL,[%],2025,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2005,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2006,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2007,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2008,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2009,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2010,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2011,0.020388120352250492
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2012,0.11492384660421545
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2013,0.0031276761252446183
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2014,0.0011113326810176126
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2015,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2016,0.0005719906323185011
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2017,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2018,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2019,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2020,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2021,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2022,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2023,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2024,0.0
COMBUSTIBLES,Valores físicos,BIODIESEL (Gas Eq),[Mm3/d],2025,0.0
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2005,618.333
COMBUSTIBLES,Participación [%],CARBÓN,[%],2005,0.03357693659667727
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2006,590.691
COMBUSTIBLES,Participación [%],CARBÓN,[%],2006,0.028373853184634396
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2007,589.358
COMBUSTIBLES,Participación [%],CARBÓN,[%],2007,0.024673566786669397
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2008,803.42491
COMBUSTIBLES,Participación [%],CARBÓN,[%],2008,0.030013013039610723
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2009,795.7467
COMBUSTIBLES,Participación [%],CARBÓN,[%],2009,0.03200989269416628
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2010,873.90401
COMBUSTIBLES,Participación [%],CARBÓN,[%],2010,0.03416937198686789
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2011,999.0139099999999
COMBUSTIBLES,Participación [%],CARBÓN,[%],2011,0.034924641595511716
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2012,966.5750390000003
COMBUSTIBLES,Participación [%],CARBÓN,[%],2012,0.031218349978019425
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2013,851.2783200000001
COMBUSTIBLES,Participación [%],CARBÓN,[%],2013,0.027702879518701946
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2014,1004.376563
COMBUSTIBLES,Participación [%],CARBÓN,[%],2014,0.03226898817963802
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2015,949.100955
COMBUSTIBLES,Participación [%],CARBÓN,[%],2015,0.029166354937593286
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2016,725.2618550000001
COMBUSTIBLES,Participación [%],CARBÓN,[%],2016,0.021605910581440232
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2017,653.6172789999999
COMBUSTIBLES,Participación [%],CARBÓN,[%],2017,0.02053288737999252
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2018,657.31651
COMBUSTIBLES,Participación [%],CARBÓN,[%],2018,0.021112718509690834
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2019,221.84211800000003
COMBUSTIBLES,Participación [%],CARBÓN,[%],2019,0.007932058762869188
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2020,474.9876309999999
COMBUSTIBLES,Participación [%],CARBÓN,[%],2020,0.01682680646374515
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2021,865.7111340000001
COMBUSTIBLES,Participación [%],CARBÓN,[%],2021,0.028023630331833863
COMBUSTIBLES,% COBERTURA,CARBÓN,[kTon],2022,777.0252649999998
